feature,overall_present_count,overall_missing_count,overall_missing_pct
feat_recent_normalized,65,633,90.68767908309455
feat_var_spike_ratio,65,633,90.68767908309455
label_outbreak,74,624,89.39828080229226
feat_cases_lag_8,105,593,84.9570200573066
feat_rain_lag_8,113,585,83.810888252149
feat_temp_lag_8,115,583,83.5243553008596
feat_acf_change,180,518,74.21203438395415
feat_lai_lag_4,195,503,72.06303724928367
feat_cases_acf_lag1_4w,217,481,68.91117478510029
feat_cases_lag_4,218,480,68.76790830945558
feat_trend_accel,218,480,68.76790830945558
feat_rain_lag_4,244,454,65.0429799426934
feat_temp_lag_4,247,451,64.61318051575931
feat_cases_trend_4w,266,432,61.891117478510026
feat_lai_lag_2,296,402,57.59312320916905
feat_cases_skew_4w,329,369,52.865329512893986
feat_cases_lag_2,329,369,52.865329512893986
feat_temp_lag_2,371,327,46.84813753581662
feat_lai_lag_1,371,327,46.84813753581662
feat_rain_lag_2,374,324,46.41833810888252
feat_cases_lag_1,418,280,40.114613180515754
feat_cases_var_4w,418,280,40.114613180515754
feat_cases_growth_rate,418,280,40.114613180515754
feat_temp_lag_1,475,223,31.94842406876791
feat_rain_lag_1,483,215,30.802292263610315
feat_lai,522,176,25.214899713467048
feat_cases_ma_4w,569,129,18.48137535816619
feat_cases_ma_8w,569,129,18.48137535816619
feat_temp_anomaly,652,46,6.59025787965616
feat_rain_persist_4w,674,24,3.4383954154727796
feat_degree_days_above_20,677,21,3.0085959885386817
feat_week_sin,698,0,0.0
feat_week_cos,698,0,0.0
feat_quarter,698,0,0.0
feat_is_monsoon,698,0,0.0
feat_lat_norm,698,0,0.0
feat_lon_norm,698,0,0.0
feat_lat_lon_interact,698,0,0.0
